TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,COUNT_NAMA_MODEL_YANG_SEBENAR
2018,DS5,34
1991,DYNA,1
1997,DYNA,8
1995,E200,130
1996,E200,627
2000,E200,545
2004,E200,122
2008,E200,67
2009,E200,127
2013,E200,838
2014,E200,638
2015,E200,103
2016,E200,1179
2017,E200,273
2018,E200,224
2019,E200,90
2020,E200,6
2021,E200,1
2022,E200,1
2000,E200K,142
2001,E200K,262
2003,E200K,370
2004,E200K,275
2005,E200K,253
2006,E200K,138
2007,E200K,119
2008,E200K,81
2009,E200K,49
1990,E220,2
1996,E230,1312
1997,E230,1128
1998,E230,107
2008,E230,3
2009,E230,1
1998,E240,842
1999,E240,768
2000,E240,1073
2002,E240,531
2003,E240,898
2004,E240,669
2005,E240,517
2010,E250,1718
2011,E250,2113
2012,E250,2055
2013,E250,1796
2014,E250,1713
2015,E250,521
2016,E250,964
2017,E250,137
2018,E250,111
2019,E250,25
1998,E280,81
1999,E280,91
2006,E280,130
2007,E280,42
2008,E280,11
2009,E300,11
2010,E300,9
2011,E300,1
2012,E300,5
2014,E300,139
2015,E300,1723
2016,E300,38
2017,E300,130
2018,E300,182
2019,E300,303
2020,E300,32
2021,E300,5
2022,E300,2
2009,E350,119
2019,E350,722
2020,E350,146
2014,E400,7
2015,E400,2
2017,E400,8
2018,E400,3
2018,E450,1
2010,EASTAR,5
2011,EASTAR,346
2012,EASTAR,1017
2013,EASTAR,460
2014,EASTAR,147
2007,ECONOVAN,69
2014,ECOSPORT,1030
2015,ECOSPORT,261
2016,ECOSPORT,57
2017,ECOSPORT,4
2004,EDIX,1
2007,EDIX,6
2001,ELANTRA,118
2002,ELANTRA,120
2004,ELANTRA,558
2005,ELANTRA,415
2008,ELANTRA,403
2009,ELANTRA,172
2010,ELANTRA,445
2012,ELANTRA,2889
2013,ELANTRA,4703
2014,ELANTRA,2849
2015,ELANTRA,6492
2016,ELANTRA,113
2019,ELANTRA,174
2020,ELANTRA,21
2021,ELANTRA,35
2004,ELGRAND,32
2006,ELGRAND,46
2007,ELGRAND,8
2010,ELGRAND,53
